State,Women,Men
Andaman & Nicobar,31.3 %,58.7 %
AP,3.8%,22.6%
Arunachal,18.8%,50.3%
Assam,22.1%,51.8%
Bihar,5.0%,48.8%
Chandigarh,0.6%,12.1%
Chattishgarh,17.3%,43.1%
D&N,2.9%,38.6%
Delhi,2.2%,26.3%
Goa,2.6%,18.2%
Gujarat,8.7%,41.1%
Haryana,2.5%,29.1%
Himachal Pradesh,1.7%,32.3%
J&K,3.6%,38.3%
Jharkhand,8.4%,47.4%
Karnataka,8.5%,27.1%
Kerala,2.2%,16.9%
Ladakh,3.2%,35.7%
Lakshadweep,17.5%,28.5%
Maharashtra,10.9%,33.8%
Manipur,43.1%,58.1%
Meghalaya,28.2%,57.7%
Mizoram,61.6%,72.9%
Madhya Pradesh,10.2%,46.5%
Nagaland,13.7%,48.4%
Odisha,26.0%,51.6%
Puducherry,2.6%,14.8%
Punjab,0.4%,12.9%
Rajasthan,6.9%,42.0%
Sikkim,11.7%,41.3%
Tamil Nadu,4.9%,20.1%
Telangana,5.6%,22.3%
Tripura,50.4%,56.9%
Uttar Pradesh,8.4%,44.1%
Uttarakhand,4.6%,33.7%
West Bengal,10.8%,48.1%
